wind_direction,U_inf,yaw_1,yaw_2,power_1,power_2,power_total
60,8.0,-25,0.0,1458.96,1753.95,3212.91
60,8.0,-20,0.0,1561.32,1753.95,3315.27
60,8.0,-15,0.0,1643.59,1753.95,3397.54
60,8.0,-10,0.0,1704.2,1753.95,3458.16
60,8.0,-5,0.0,1741.51,1753.95,3495.46
60,8.0,0,0.0,1753.95,1753.95,3507.91
60,8.0,5,0.0,1741.51,1753.95,3495.46
60,8.0,10,0.0,1704.2,1753.95,3458.16
60,8.0,15,0.0,1643.59,1753.95,3397.54
60,8.0,20,0.0,1561.32,1753.95,3315.27
60,8.0,25,0.0,1458.96,1753.95,3212.91
60,8.0,30,0.0,1339.86,1753.95,3093.81
60,10.0,-30,0.0,2618.95,3417.8,6036.75
60,10.0,-25,0.0,2863.71,3417.8,6281.5
60,10.0,-20,0.0,3063.49,3417.8,6481.29
60,10.0,-15,0.0,3218.62,3417.8,6636.42
60,10.0,-10,0.0,3329.31,3417.8,6747.11
60,10.0,-5,0.0,3395.68,3417.8,6813.48
60,10.0,0,0.0,3417.8,3417.8,6835.59
60,10.0,5,0.0,3395.68,3417.8,6813.48
60,10.0,10,0.0,3329.31,3417.8,6747.11
60,10.0,15,0.0,3218.62,3417.8,6636.42
60,10.0,20,0.0,3063.49,3417.8,6481.29
60,10.0,25,0.0,2863.71,3417.8,6281.5
60,10.0,30,0.0,2618.95,3417.8,6036.75
60,12.0,-30,0.0,4478.61,5000.0,9478.61
60,12.0,-25,0.0,4862.41,5000.0,9862.41
60,12.0,-20,0.0,5000.0,5000.0,10000.0
60,12.0,-15,0.0,5000.0,5000.0,10000.0
60,12.0,-10,0.0,5000.0,5000.0,10000.0
60,12.0,-5,0.0,5000.0,5000.0,10000.0
60,12.0,0,0.0,5000.0,5000.0,10000.0
60,12.0,5,0.0,5000.0,5000.0,10000.0
60,12.0,10,0.0,5000.0,5000.0,10000.0
60,12.0,15,0.0,5000.0,5000.0,10000.0
60,12.0,20,0.0,5000.0,5000.0,10000.0
60,12.0,25,0.0,4862.41,5000.0,9862.41
60,12.0,30,0.0,4478.61,5000.0,9478.61
90,6.0,-30,0.0,96.75,731.0,827.75
90,6.0,-25,0.0,110.27,731.0,841.27
90,6.0,-20,0.0,121.3,731.0,852.3
90,6.0,-15,0.0,129.87,731.0,860.87
90,6.0,-10,0.0,135.98,731.0,866.98
90,6.0,-5,0.0,139.65,731.0,870.65
90,6.0,0,0.0,140.87,731.0,871.87
90,6.0,5,0.0,139.65,731.0,870.65
90,6.0,10,0.0,135.98,731.0,866.98
90,6.0,15,0.0,129.87,731.0,860.87
90,6.0,20,0.0,121.3,731.0,852.3
90,6.0,25,0.0,110.27,731.0,841.27
90,6.0,30,0.0,96.75,731.0,827.75
90,8.0,-30,0.0,326.56,1753.95,2080.51
90,8.0,-25,0.0,357.02,1753.95,2110.97
90,8.0,-20,0.0,381.88,1753.95,2135.83
90,8.0,-15,0.0,401.18,1753.95,2155.13
90,8.0,-10,0.0,420.2,1753.95,2174.16
90,8.0,-5,0.0,432.38,1753.95,2186.34
90,8.0,0,0.0,436.44,1753.95,2190.4
90,8.0,5,0.0,432.38,1753.95,2186.34
90,8.0,10,0.0,420.2,1753.95,2174.16
90,8.0,15,0.0,401.18,1753.95,2155.13
90,8.0,20,0.0,381.88,1753.95,2135.83
90,8.0,25,0.0,357.02,1753.95,2110.97
90,8.0,30,0.0,326.56,1753.95,2080.51
90,10.0,-30,0.0,680.85,3417.8,4098.65
90,10.0,-25,0.0,737.07,3417.8,4154.87
90,10.0,-20,0.0,798.72,3417.8,4216.52
90,10.0,-15,0.0,846.74,3417.8,4264.54
90,10.0,-10,0.0,881.0,3417.8,4298.79
90,10.0,-5,0.0,901.54,3417.8,4319.33
90,10.0,0,0.0,908.38,3417.8,4326.18
90,10.0,5,0.0,901.54,3417.8,4319.33
90,10.0,10,0.0,881.0,3417.8,4298.79
90,10.0,15,0.0,846.74,3417.8,4264.54
90,10.0,20,0.0,798.72,3417.8,4216.52
90,10.0,25,0.0,737.07,3417.8,4154.87
90,10.0,30,0.0,680.85,3417.8,4098.65
90,12.0,-30,0.0,1828.8,5000.0,6828.8
90,12.0,-25,0.0,2003.27,5000.0,7003.27
90,12.0,-20,0.0,2145.68,5000.0,7145.68
90,12.0,-15,0.0,2256.26,5000.0,7256.26
90,12.0,-10,0.0,2335.16,5000.0,7335.16
90,12.0,-5,0.0,2382.47,5000.0,7382.47
90,12.0,0,0.0,2398.24,5000.0,7398.24
90,12.0,5,0.0,2382.47,5000.0,7382.47
90,12.0,10,0.0,2335.16,5000.0,7335.16
90,12.0,15,0.0,2256.26,5000.0,7256.26
90,12.0,20,0.0,2145.68,5000.0,7145.68
90,12.0,25,0.0,2003.27,5000.0,7003.27
90,12.0,30,0.0,1828.8,5000.0,6828.8
120,6.0,-30,0.0,558.99,731.0,1290.0
120,6.0,-25,0.0,611.7,731.0,1342.7
120,6.0,-20,0.0,654.71,731.0,1385.72
120,6.0,-15,0.0,688.12,731.0,1419.12
120,6.0,-10,0.0,711.95,731.0,1442.95
120,6.0,-5,0.0,726.24,731.0,1457.24
120,6.0,0,0.0,731.0,731.0,1462.01
120,6.0,5,0.0,726.24,731.0,1457.24
120,6.0,10,0.0,711.95,731.0,1442.95
120,6.0,15,0.0,688.12,731.0,1419.12
120,6.0,20,0.0,654.71,731.0,1385.72
120,6.0,25,0.0,611.7,731.0,1342.7
120,6.0,30,0.0,558.99,731.0,1290.0
120,8.0,-30,0.0,1339.86,1753.95,3093.81
120,8.0,-25,0.0,1458.96,1753.95,3212.91
120,8.0,-20,0.0,1561.32,1753.95,3315.27
120,8.0,-15,0.0,1643.59,1753.95,3397.54
120,8.0,-10,0.0,1704.2,1753.95,3458.16
120,8.0,-5,0.0,1741.51,1753.95,3495.46
120,8.0,0,0.0,1753.95,1753.95,3507.91
120,8.0,5,0.0,1741.51,1753.95,3495.46
120,8.0,10,0.0,1704.2,1753.95,3458.16
120,8.0,15,0.0,1643.59,1753.95,3397.54
120,8.0,20,0.0,1561.32,1753.95,3315.27
120,8.0,25,0.0,1458.96,1753.95,3212.91
120,8.0,30,0.0,1339.86,1753.95,3093.81
120,10.0,-30,0.0,2618.95,3417.8,6036.75
120,10.0,-25,0.0,2863.71,3417.8,6281.5
120,10.0,-20,0.0,3063.49,3417.8,6481.29
120,10.0,-15,0.0,3218.62,3417.8,6636.42
120,10.0,-10,0.0,3329.31,3417.8,6747.11
120,10.0,-5,0.0,3395.68,3417.8,6813.48
120,10.0,0,0.0,3417.8,3417.8,6835.59
120,10.0,5,0.0,3395.68,3417.8,6813.48
120,10.0,10,0.0,3329.31,3417.8,6747.11
120,10.0,15,0.0,3218.62,3417.8,6636.42
120,10.0,20,0.0,3063.49,3417.8,6481.29
120,10.0,25,0.0,2863.71,3417.8,6281.5
120,10.0,30,0.0,2618.95,3417.8,6036.75
